Node_ID,Cluster_Label,Is_VP
317,0,0
318,14,0
319,4,0
320,12,0
321,12,0
322,8,0
323,3,0
324,1,0
325,0,0
326,5,0
327,14,0
328,4,0
329,3,0
330,11,0
331,7,0
332,6,0
333,6,0
334,12,0
335,8,0
336,0,0
337,11,0
338,12,0
339,10,0
340,13,0
341,0,0
342,1,0
343,7,0
344,7,0
345,4,0
346,14,0
347,0,0
348,4,0
349,0,0
350,14,0
351,14,0
352,8,0
353,11,0
354,9,0
355,1,0
356,4,0
357,11,0
358,10,0
359,0,0
360,13,0
361,8,0
362,5,0
363,8,0
364,6,0
365,8,0
366,2,0
367,11,0
368,11,0
369,4,0
370,14,0
371,2,0
372,11,0
373,4,0
374,1,0
375,8,0
376,2,0
377,8,0
378,2,0
379,10,0
380,12,1
381,9,0
382,0,0
383,5,0
384,11,0
385,8,0
386,12,0
387,7,0
388,9,0
389,3,0
390,2,0
391,4,0
392,8,0
393,2,0
394,11,0
395,0,1
396,3,0
397,8,0
398,1,0
399,5,0
400,7,1
401,3,1
402,9,0
403,10,0
404,14,0
405,10,0
406,8,0
407,1,0
408,2,0
409,12,0
410,7,0
411,4,0
412,5,0
413,4,0
414,2,0
415,4,0
416,6,0
417,2,0
418,13,0
419,3,0
420,0,0
421,8,0
422,12,0
423,8,0
424,3,0
425,8,0
426,11,0
427,6,0
428,0,0
429,7,0
430,2,0
431,2,0
432,9,0
433,6,0
434,10,0
435,14,0
436,2,0
437,6,0
438,3,0
439,12,0
440,9,0
441,6,0
442,7,0
443,7,0
444,12,0
445,5,0
446,13,0
447,7,0
448,11,0
449,6,0
450,6,0
451,0,0
452,11,0
453,13,0
454,4,0
455,7,0
456,2,0
457,2,0
458,11,0
459,7,0
460,1,0
461,10,0
462,14,0
463,4,0
464,7,0
465,8,0
466,1,0
467,12,0
468,8,0
469,0,0
470,4,0
471,5,0
472,6,0
473,8,0
474,1,0
475,3,0
476,8,0
477,4,0
478,14,0
479,0,0
480,0,0
481,4,0
482,4,0
483,7,0
484,2,0
485,5,0
486,7,0
487,12,0
488,7,0
489,3,0
490,9,0
491,6,0
492,2,0
493,2,0
494,11,0
495,10,0
496,0,0
497,14,0
498,13,0
499,1,0
500,0,0
501,10,0
502,10,0
503,5,0
504,4,0
505,11,0
506,7,0
507,5,0
508,0,0
509,7,0
510,7,0
511,10,0
512,1,0
513,10,0
514,11,0
515,0,0
516,6,0
517,0,0
518,9,1
519,12,0
520,5,0
521,9,0
522,1,0
523,6,0
524,7,0
525,1,1
526,10,0
527,13,0
528,2,0
529,3,0
530,10,0
531,2,0
532,9,0
533,6,0
534,14,0
535,14,0
536,6,0
537,13,0
538,9,0
539,11,0
540,7,0
541,11,0
542,1,0
543,7,0
544,13,0
545,10,0
546,2,0
547,6,0
548,6,0
549,13,0
550,8,0
551,10,0
552,13,0
553,9,0
554,7,0
555,7,0
556,0,0
557,3,0
558,8,0
559,6,0
560,10,0
561,10,0
562,2,0
563,12,0
564,14,0
565,2,1
566,12,0
567,7,0
568,1,0
569,3,0
570,13,0
571,2,0
572,11,0
573,10,0
574,10,0
575,5,0
576,3,0
577,5,0
578,8,0
579,7,0
580,7,0
581,9,0
582,8,0
583,1,0
584,12,0
585,5,0
586,7,0
587,2,0
588,7,0
589,2,0
590,13,0
591,5,0
592,8,0
593,7,0
594,9,0
595,0,0
596,9,0
597,8,0
598,10,0
599,7,0
600,7,0
601,12,0
602,5,0
603,2,0
604,11,0
605,4,0
606,8,0
607,7,0
608,0,0
609,7,0
610,13,0
611,11,0
612,9,0
613,14,0
614,13,0
615,13,0
616,6,0
617,2,0
618,1,0
619,13,0
620,10,0
621,10,0
622,1,0
623,6,0
624,1,0
625,1,0
626,6,0
627,2,0
628,4,0
629,0,0
630,11,0
631,4,0
632,6,0
633,4,0
634,7,0
635,5,0
636,7,0
637,14,0
638,11,0
639,0,0
640,5,0
641,7,0
642,4,0
643,12,0
644,6,0
645,14,0
646,3,0
647,7,0
648,6,0
649,5,0
650,8,0
651,0,0
652,5,0
653,5,0
654,11,0
655,8,0
656,5,0
657,9,0
658,5,0
659,6,0
660,6,0
661,13,0
662,13,0
663,8,0
664,2,0
665,5,0
666,11,0
667,10,0
668,0,0
669,6,0
670,4,1
671,10,0
672,2,0
673,4,0
674,13,0
675,1,0
676,9,0
677,5,0
678,13,0
679,9,0
680,13,0
681,3,0
682,7,0
683,5,0
684,12,0
685,13,0
686,1,0
687,11,0
688,3,0
689,9,0
690,12,0
691,13,0
692,7,0
693,7,0
694,1,0
695,6,0
696,0,0
697,11,0
698,14,0
699,5,0
700,6,0
701,8,0
702,2,0
703,10,0
704,5,0
705,6,0
706,6,0
707,5,0
708,6,0
709,11,0
710,4,0
711,6,0
712,10,0
713,8,0
714,5,0
715,3,0
716,3,0
717,6,0
718,9,0
719,0,0
720,13,0
721,2,0
722,13,0
723,5,0
724,10,0
725,3,0
726,1,0
727,8,0
728,3,0
729,0,0
730,9,0
731,0,0
732,13,0
733,13,0
734,10,0
735,5,0
736,13,0
737,9,0
738,10,0
739,1,0
740,7,0
741,14,0
742,4,0
743,9,0
744,4,0
745,4,0
746,6,0
747,3,0
748,2,0
749,11,0
750,3,0
751,12,0
752,4,0
753,3,0
754,5,0
755,10,0
756,7,0
757,6,0
758,5,0
759,11,0
760,8,0
761,14,0
762,14,0
763,4,0
764,1,0
765,9,0
766,7,0
767,14,0
768,0,0
769,0,0
770,7,0
771,7,0
772,1,0
773,1,0
774,0,0
775,1,0
776,10,0
777,6,0
778,2,0
779,10,0
780,14,0
781,13,0
782,1,0
783,7,0
784,2,0
785,7,0
786,5,0
787,6,0
788,0,0
789,3,0
790,4,0
791,2,0
792,13,0
793,2,0
794,9,0
795,5,0
796,6,0
797,2,0
798,6,0
799,8,0
800,12,0
801,4,0
802,0,0
803,8,0
804,4,0
805,10,0
806,14,0
807,9,0
808,10,0
809,5,0
810,14,0
811,5,0
812,0,0
813,0,0
814,0,0
815,13,0
816,5,0
817,13,0
818,14,0
819,10,0
820,5,0
821,3,0
822,8,0
823,8,0
824,10,0
825,12,0
826,4,0
827,8,0
828,14,0
829,4,0
830,2,0
831,1,0
832,10,0
833,11,0
834,8,0
835,11,0
836,10,0
837,13,0
838,12,0
839,0,0
840,11,0
841,5,0
842,8,0
843,1,0
844,5,0
845,0,0
846,14,0
847,14,0
848,6,0
849,1,0
850,13,0
851,4,0
852,14,0
853,7,0
854,3,0
855,6,0
856,2,0
857,8,0
858,0,0
859,13,0
860,6,1
861,14,0
862,7,0
863,5,0
864,1,0
865,9,0
866,2,0
867,8,0
868,14,0
869,4,0
870,10,0
871,7,0
872,4,0
873,12,0
874,7,0
875,14,0
876,12,0
877,10,0
878,1,0
879,0,0
880,11,0
881,0,0
882,12,0
883,2,0
884,4,0
885,9,0
886,10,0
887,13,0
888,2,0
889,11,0
890,8,0
891,3,0
892,5,0
893,3,0
894,0,0
895,0,0
896,3,0
897,6,0
898,7,0
899,6,0
900,10,0
901,14,0
902,9,0
903,7,0
904,6,0
905,5,0
906,6,0
907,8,0
908,9,0
909,2,0
910,6,0
911,5,0
912,2,0
913,8,0
914,13,0
915,1,0
916,5,0
917,10,0
918,12,0
919,13,0
920,4,0
921,9,0
922,13,0
923,6,0
924,10,0
925,11,0
926,10,0
927,13,0
928,2,0
929,10,0
930,10,0
931,0,0
932,10,0
933,6,0
934,0,0
935,7,0
936,5,0
937,2,0
938,2,0
939,4,0
940,5,0
941,5,0
942,4,0
943,12,0
944,5,0
945,12,0
946,7,0
947,5,0
948,7,0
949,9,0
950,14,0
951,7,0
952,7,0
953,13,0
954,14,0
955,11,0
956,13,0
957,9,0
958,1,0
959,4,0
960,7,0
961,2,0
962,7,0
963,2,0
964,7,0
965,3,0
966,3,0
967,5,0
968,11,0
969,14,0
970,12,0
971,10,0
972,1,0
973,14,0
974,4,0
975,12,0
976,5,0
977,10,0
978,2,0
979,5,1
980,12,0
981,13,0
982,3,0
983,12,0
984,14,0
985,8,0
986,4,0
987,11,0
988,4,0
989,10,0
990,8,0
991,3,0
992,6,0
993,2,0
994,9,0
995,7,0
996,7,0
997,10,0
998,13,0
999,12,0
